Date,Time,Content,From
22/05/20, 2:34:31 AM, not ok, $h@lin!
22/05/20, 2:34:44 AM, i'll say when i get, Mr. Buddy
22/05/20, 2:34:47 AM, truth, Mr. Buddy
22/05/20, 2:34:56 AM, waiting, $h@lin!
‎22/05/20, 2:35:05 AM, ‎gif omitted, $h@lin!
22/05/20, 2:35:14 AM, not today, Mr. Buddy
22/05/20, 2:35:20 AM, the day when i get, Mr. Buddy
22/05/20, 2:35:23 AM, any day, $h@lin!
22/05/20, 2:35:41 AM, and u should never think u shouldn’t share, $h@lin!
22/05/20, 2:35:52 AM, or never feel uncomfortable, $h@lin!
22/05/20, 2:35:58 AM, okie, Mr. Buddy
22/05/20, 2:36:04 AM, though we may not talk for few days, $h@lin!
22/05/20, 2:36:20 AM, but we ll be still the same friends right, $h@lin!
22/05/20, 2:36:27 AM, and i believe so, $h@lin!
22/05/20, 2:36:28 AM, ha, Mr. Buddy
22/05/20, 2:36:34 AM, so u shouldn’t get change, $h@lin!
22/05/20, 2:36:57 AM, okie, Mr. Buddy
22/05/20, 2:36:58 AM, because i ll be talking like this and if u dnt respond properly like this, $h@lin!
22/05/20, 2:37:07 AM, then i ll not talk to u again, $h@lin!
22/05/20, 2:37:32 AM, i don’t want to break our friendship 😭, $h@lin!
22/05/20, 2:37:33 AM, okieee, Mr. Buddy
22/05/20, 2:37:46 AM, dnt say ok, $h@lin!
22/05/20, 2:38:03 AM, i'll not break, Mr. Buddy
22/05/20, 2:38:03 AM, say something responsive, $h@lin!
22/05/20, 2:38:12 AM, 🤣, $h@lin!
22/05/20, 2:38:22 AM, that’s like a good boy, $h@lin!
22/05/20, 2:38:34 AM, choose 1-10, $h@lin!
22/05/20, 2:39:10 AM, 8, Mr. Buddy
‎22/05/20, 2:40:00 AM, MediaShared, $h@lin!
22/05/20, 2:40:14 AM, 🤣, Mr. Buddy
22/05/20, 2:40:31 AM, do i have to answer? i’m, $h@lin!
22/05/20, 2:40:40 AM, i know, Mr. Buddy
22/05/20, 2:40:42 AM, no need, Mr. Buddy
22/05/20, 2:40:46 AM, next, $h@lin!
22/05/20, 2:41:18 AM, selcet between  1-50, Mr. Buddy
22/05/20, 2:41:32 AM, again??, $h@lin!
22/05/20, 2:41:37 AM, 26, $h@lin!
‎22/05/20, 2:42:12 AM, MediaShared, Mr. Buddy
22/05/20, 2:42:23 AM, 😂😂😂😂, $h@lin!
22/05/20, 2:42:32 AM, say first kiss, $h@lin!
22/05/20, 2:42:50 AM, actually no, Mr. Buddy
22/05/20, 2:42:55 AM, hey liar, $h@lin!
22/05/20, 2:43:00 AM, in hand once, Mr. Buddy
22/05/20, 2:43:10 AM, aww, $h@lin!
22/05/20, 2:43:21 AM, that was last, Mr. Buddy
22/05/20, 2:43:22 AM, remember, $h@lin!
22/05/20, 2:43:29 AM, think of first, $h@lin!
22/05/20, 2:43:39 AM, that only was first also, Mr. Buddy
22/05/20, 2:43:57 AM, 🥺, $h@lin!
22/05/20, 2:44:10 AM, wait, $h@lin!
22/05/20, 2:44:12 AM, ha, Mr. Buddy
22/05/20, 2:44:16 AM, hand means, $h@lin!
22/05/20, 2:44:24 AM, kissed in hand, Mr. Buddy
22/05/20, 2:44:30 AM, ur hand?, $h@lin!
22/05/20, 2:44:33 AM, her hand, $h@lin!
22/05/20, 2:44:35 AM, 🤔, $h@lin!
22/05/20, 2:44:42 AM, her hand, Mr. Buddy
22/05/20, 2:44:48 AM, ok leave, Mr. Buddy
22/05/20, 2:44:51 AM, i said na, Mr. Buddy
22/05/20, 2:44:55 AM, 🤣, $h@lin!
22/05/20, 2:44:59 AM, so cute, $h@lin!
22/05/20, 2:45:12 AM, ok dnt feel bad 🤗, $h@lin!
22/05/20, 2:45:51 AM, u are fine?, $h@lin!
22/05/20, 2:46:00 AM, yes i'm fine, Mr. Buddy
22/05/20, 2:46:29 AM, a beautiful kiss would be waiting for u, $h@lin!
22/05/20, 2:46:35 AM, wait for it🤣, $h@lin!
22/05/20, 2:47:07 AM, 🤣🤣🤣🤣, Mr. Buddy
22/05/20, 2:47:27 AM, ??, $h@lin!
??,,,
??,,,
??,,,
✊✊,,,
??,,,
✌✌,,,
??,,,
??,,,
??,,,
??,,,
??,,,
☝☝,,,
22/05/20, 2:47:34 AM, yeah, $h@lin!
22/05/20, 2:47:42 AM, hey wait, $h@lin!
22/05/20, 2:47:42 AM, question mark, Mr. Buddy
22/05/20, 2:47:50 AM, u said u have not met, $h@lin!
22/05/20, 2:47:58 AM, how come all these, $h@lin!
22/05/20, 2:48:09 AM, first girl friend, Mr. Buddy
22/05/20, 2:48:19 AM, 😯, $h@lin!
22/05/20, 2:48:40 AM, then no attachment with anyone?, $h@lin!
22/05/20, 2:49:10 AM, no, Mr. Buddy
22/05/20, 2:49:12 AM, ok leave, $h@lin!
22/05/20, 2:49:28 AM, understand it ll be, $h@lin!
22/05/20, 2:49:35 AM, and it just happens, $h@lin!
22/05/20, 2:49:39 AM, okieee, Mr. Buddy
22/05/20, 2:49:42 AM, which question mark, $h@lin!
22/05/20, 2:49:50 AM, position also matters, $h@lin!
22/05/20, 2:49:58 AM, what's the question, Mr. Buddy
22/05/20, 2:50:09 AM, this is the question, $h@lin!
22/05/20, 2:50:17 AM, i ll share the answer, $h@lin!
‎22/05/20, 2:50:30 AM, MediaShared, Mr. Buddy
22/05/20, 2:50:40 AM, yes, $h@lin!
22/05/20, 2:50:44 AM, choose, $h@lin!
22/05/20, 2:50:49 AM, the question mark also, $h@lin!
22/05/20, 2:50:52 AM, only tgree smileys are there, Mr. Buddy
22/05/20, 2:50:57 AM, position, $h@lin!
22/05/20, 2:51:03 AM, yeah, $h@lin!
22/05/20, 2:51:13 AM, for question marks positions matters, $h@lin!
22/05/20, 2:51:22 AM, that’s the specialty of this game, $h@lin!
22/05/20, 2:51:24 AM, i should select from three??, Mr. Buddy
22/05/20, 2:51:28 AM, i see no position, Mr. Buddy
22/05/20, 2:51:41 AM, like second ??, $h@lin!
22/05/20, 2:51:46 AM, or any emoji, $h@lin!
22/05/20, 2:52:01 AM, no i have sent screenshot check, Mr. Buddy
22/05/20, 2:52:07 AM, yeah, $h@lin!
22/05/20, 2:52:25 AM, u have to choose one, $h@lin!
22/05/20, 2:52:30 AM, ??, Mr. Buddy
22/05/20, 2:52:39 AM, ok, $h@lin!
‎22/05/20, 2:53:06 AM, MediaShared, $h@lin!
22/05/20, 2:53:20 AM, it’s like this, $h@lin!
22/05/20, 2:53:34 AM, you should ask something else, Mr. Buddy
22/05/20, 2:53:42 AM, it's some wrong i guess, Mr. Buddy
22/05/20, 2:53:58 AM, they have considered the position, $h@lin!
22/05/20, 2:54:09 AM, no ita some mistake, Mr. Buddy
22/05/20, 2:54:20 AM, 1-50, $h@lin!
22/05/20, 2:54:33 AM, sorry 1-20, $h@lin!
22/05/20, 2:54:56 AM, 6, Mr. Buddy
‎22/05/20, 2:55:17 AM, MediaShared, $h@lin!
22/05/20, 2:55:33 AM, 🤣, Mr. Buddy
22/05/20, 2:55:37 AM, infinitie, Mr. Buddy
22/05/20, 2:55:42 AM, when i was kid i have lied, $h@lin!
22/05/20, 2:55:45 AM, and caught, $h@lin!
22/05/20, 2:55:58 AM, and mom gave punishment also😰, $h@lin!
22/05/20, 2:56:09 AM, but that has only 13, Mr. Buddy
22/05/20, 2:56:14 AM, you asked 20, Mr. Buddy
22/05/20, 2:56:22 AM, have to scroll, $h@lin!
22/05/20, 2:56:29 AM, ohw ok, Mr. Buddy
‎22/05/20, 2:56:37 AM, MediaShared, $h@lin!
22/05/20, 2:57:30 AM, a-z, Mr. Buddy
22/05/20, 2:57:37 AM, u know once i went to my frd home.. i called my mom saying i have to do combine study.. we are working on math, $h@lin!
22/05/20, 2:57:43 AM, i forgot to cut the call, $h@lin!
22/05/20, 2:57:56 AM, 🤣🤣🤣🤣🤣, Mr. Buddy
22/05/20, 2:58:01 AM, actually we ppl were watching magadheera movie, $h@lin!
22/05/20, 2:58:12 AM, in 8/9th std i guess, $h@lin!
22/05/20, 2:58:15 AM, ohw ok ram charan, Mr. Buddy
22/05/20, 2:58:22 AM, she listened to everything, $h@lin!
22/05/20, 2:58:32 AM, we ppl were talking about the movie, $h@lin!
22/05/20, 2:58:36 AM, yeah, $h@lin!
22/05/20, 2:58:45 AM, haqq, Mr. Buddy
22/05/20, 2:58:48 AM, super stars s, $h@lin!
22/05/20, 2:59:09 AM, got so much of beatings, $h@lin!
22/05/20, 2:59:21 AM, that’s why i can’t hide from anyone, $h@lin!
‎22/05/20, 2:59:34 AM, MediaShared, Mr. Buddy
‎22/05/20, 2:59:39 AM, MediaShared, Mr. Buddy
22/05/20, 2:59:42 AM, easiest, Mr. Buddy
22/05/20, 2:59:56 AM, make it complicated, $h@lin!
22/05/20, 3:00:01 AM, turn on flash, $h@lin!
22/05/20, 3:00:01 AM, no, Mr. Buddy
22/05/20, 3:00:03 AM, and take pic, $h@lin!
22/05/20, 3:00:05 AM, 😂, $h@lin!
22/05/20, 3:00:09 AM, over, Mr. Buddy
22/05/20, 3:00:47 AM, a-r, $h@lin!
22/05/20, 3:01:17 AM, r, Mr. Buddy
22/05/20, 3:01:39 AM, say some other, $h@lin!
22/05/20, 3:01:44 AM, it’s the same, $h@lin!
22/05/20, 3:01:53 AM, choose another letter, $h@lin!
22/05/20, 3:01:59 AM, q, Mr. Buddy
‎22/05/20, 3:02:24 AM, MediaShared, $h@lin!
22/05/20, 3:02:51 AM, i already told about boys washroom 😂, $h@lin!
22/05/20, 3:03:01 AM, ha 🤣🤣🤣, Mr. Buddy
22/05/20, 3:03:13 AM, i still want to see, $h@lin!
22/05/20, 3:03:23 AM, a-p, Mr. Buddy
22/05/20, 3:03:30 AM, a, $h@lin!
‎22/05/20, 3:04:09 AM, MediaShared, Mr. Buddy
22/05/20, 3:04:11 AM, 😂😂😂😂, Mr. Buddy
22/05/20, 3:04:25 AM, 👀, $h@lin!
22/05/20, 3:04:27 AM, should have selected l, Mr. Buddy
22/05/20, 3:04:37 AM, 😡, $h@lin!
22/05/20, 3:04:41 AM, that’s u, $h@lin!
22/05/20, 3:04:49 AM, not me, $h@lin!
22/05/20, 3:04:53 AM, chutiyaaa, Mr. Buddy
22/05/20, 3:04:58 AM, chutiyaaa, $h@lin!
22/05/20, 3:05:22 AM, it means who saying to whom, $h@lin!
22/05/20, 3:05:46 AM, im saying to you, Mr. Buddy
22/05/20, 3:05:57 AM, 🤣, $h@lin!
22/05/20, 3:06:14 AM, u need me because i’m ur sweet heart🤣, $h@lin!
22/05/20, 3:06:14 AM, ok ok, Mr. Buddy
22/05/20, 3:06:17 AM, next, Mr. Buddy
22/05/20, 3:06:20 AM, lol, $h@lin!
22/05/20, 3:06:35 AM, a-z, $h@lin!
22/05/20, 3:07:06 AM, the same one, Mr. Buddy
22/05/20, 3:07:16 AM, no, $h@lin!
22/05/20, 3:07:27 AM, it’s different, $h@lin!
22/05/20, 3:07:59 AM, dnt check and answer, $h@lin!
22/05/20, 3:08:12 AM, i'm in restroom man, Mr. Buddy
22/05/20, 3:08:22 AM, b, Mr. Buddy
22/05/20, 3:08:30 AM, chi chi, $h@lin!
22/05/20, 3:08:40 AM, finish it fast, $h@lin!
22/05/20, 3:08:45 AM, it's 3 man, Mr. Buddy
22/05/20, 3:08:48 AM, b, Mr. Buddy
‎22/05/20, 3:09:03 AM, MediaShared, $h@lin!
22/05/20, 3:09:20 AM, 🤣🤣🤣, Mr. Buddy
22/05/20, 3:09:30 AM, 50 + treat, Mr. Buddy
22/05/20, 3:09:35 AM, oh 3oclock u ll go for washroom 🤨, $h@lin!
22/05/20, 3:09:42 AM, 🥺🥺🥺🥺🥺🥺, $h@lin!
22/05/20, 3:10:03 AM, ha i just now finished eating, Mr. Buddy
‎22/05/20, 3:10:06 AM, ‎MediaShared, Mr. Buddy
22/05/20, 3:10:07 AM, all bad numbers only u choose for me🥺, $h@lin!
22/05/20, 3:10:19 AM, now???😱, $h@lin!
22/05/20, 3:10:28 AM, dinner now?, $h@lin!
22/05/20, 3:10:38 AM, no man snacks, Mr. Buddy
22/05/20, 3:10:44 AM, dinner at 3, Mr. Buddy
22/05/20, 3:10:45 AM, so after food u have to go washroom 🤔, $h@lin!
22/05/20, 3:10:46 AM, paagal, Mr. Buddy
22/05/20, 3:10:54 AM, no u drink water, Mr. Buddy
22/05/20, 3:10:55 AM, for me🥺, $h@lin!
22/05/20, 3:11:00 AM, so when u get up you go, Mr. Buddy
22/05/20, 3:11:04 AM, go and get, Mr. Buddy
22/05/20, 3:11:17 AM, 15min back i went😝, $h@lin!
22/05/20, 3:11:37 AM, haaa, Mr. Buddy
22/05/20, 3:11:47 AM, nothing is in the room.. have to go down, $h@lin!
22/05/20, 3:12:05 AM, it feels like i’m in pg in my own house🤣, $h@lin!
22/05/20, 3:12:06 AM, you sleep alone?!, Mr. Buddy
22/05/20, 3:12:22 AM, i get scared, $h@lin!
22/05/20, 3:12:34 AM, so my sister and cousin brother, $h@lin!
22/05/20, 3:12:38 AM, three ppl, $h@lin!
22/05/20, 3:12:43 AM, okie, Mr. Buddy
22/05/20, 3:13:03 AM, u sleep alone right, $h@lin!
22/05/20, 3:13:10 AM, ha, Mr. Buddy
22/05/20, 3:13:18 AM, dnt u feel scared, $h@lin!
22/05/20, 3:13:22 AM, no, Mr. Buddy
22/05/20, 3:13:25 AM, used with it, Mr. Buddy
22/05/20, 3:13:41 AM, but still, $h@lin!
22/05/20, 3:13:48 AM, u watch so many horror series, $h@lin!
22/05/20, 3:14:18 AM, see some one from the bed, $h@lin!
22/05/20, 3:14:23 AM, beside u, $h@lin!
22/05/20, 3:14:28 AM, after this lockdown i want have kfc, Mr. Buddy
22/05/20, 3:14:29 AM, on the fan, $h@lin!
22/05/20, 3:14:40 AM, 😍😍😍😍, $h@lin!
22/05/20, 3:14:43 AM, really, $h@lin!
22/05/20, 3:14:45 AM, will go, $h@lin!
22/05/20, 3:14:47 AM, you give that treat at kfc, Mr. Buddy
22/05/20, 3:14:53 AM, during lunch, Mr. Buddy
22/05/20, 3:14:59 AM, no we will oder and get, Mr. Buddy
22/05/20, 3:15:06 AM, dangerous to dine in, Mr. Buddy
22/05/20, 3:15:07 AM, sure, $h@lin!
22/05/20, 3:15:19 AM, yeah, $h@lin!
22/05/20, 3:15:28 AM, but for everyone??😳, $h@lin!
22/05/20, 3:15:37 AM, no when i'm in home, Mr. Buddy
22/05/20, 3:15:44 AM, you semd the money, Mr. Buddy
22/05/20, 3:15:46 AM, i'll oay and get, Mr. Buddy
22/05/20, 3:15:51 AM, no, $h@lin!
22/05/20, 3:15:52 AM, 4 chicken bucket, Mr. Buddy
22/05/20, 3:15:55 AM, it’s a treat, $h@lin!
22/05/20, 3:16:00 AM, we both should have, $h@lin!
22/05/20, 3:16:04 AM, no, Mr. Buddy
22/05/20, 3:16:06 AM, else u get stomach pain, $h@lin!
22/05/20, 3:16:19 AM, yes, $h@lin!
22/05/20, 3:16:24 AM, you pay me, Mr. Buddy
22/05/20, 3:16:31 AM, i get 4 chicken bucket, Mr. Buddy
22/05/20, 3:16:37 AM, i dnt get kfc order to my room, $h@lin!
22/05/20, 3:16:40 AM, for myself, Mr. Buddy
22/05/20, 3:16:44 AM, ok i ll come to ur room, $h@lin!
22/05/20, 3:16:50 AM, i get you just google pay, Mr. Buddy
22/05/20, 3:16:50 AM, will order and have, $h@lin!
22/05/20, 3:16:54 AM, 🤣, $h@lin!
22/05/20, 3:16:55 AM, no need to come to room, Mr. Buddy
22/05/20, 3:17:19 AM, then my chicken 🥺, $h@lin!
22/05/20, 3:17:25 AM, lockdown really took away many things, Mr. Buddy
22/05/20, 3:17:35 AM, yeah pizza too, $h@lin!
22/05/20, 3:17:47 AM, gobi🥺, $h@lin!
22/05/20, 3:17:58 AM, pani puri, $h@lin!
22/05/20, 3:17:59 AM, everything, Mr. Buddy
22/05/20, 3:18:12 AM, samosa?, $h@lin!
22/05/20, 3:18:20 AM, 😅, $h@lin!
22/05/20, 3:18:29 AM, after lockdown, $h@lin!
22/05/20, 3:18:36 AM, u can have, $h@lin!
22/05/20, 3:18:42 AM, but it’s dangerous, $h@lin!
22/05/20, 3:18:52 AM, to have outside food for few months, $h@lin!
22/05/20, 3:19:29 AM, hey ur mom only prepared ice cream no, $h@lin!
22/05/20, 3:19:58 AM, all moms are so cool😘, $h@lin!
22/05/20, 3:20:30 AM, seems like u are sleeping 🧐, $h@lin!
22/05/20, 3:21:16 AM, ok kid... keep dreaming .. get all these in ur dream and eat, $h@lin!
22/05/20, 3:21:36 AM, get some good sleep 🤗 good night take care, $h@lin!
22/05/20, 9:44:14 AM, good morning, Mr. Buddy
‎22/05/20, 10:28:14 AM, ‎gif omitted, $h@lin!
22/05/20, 10:28:19 AM, good morning, $h@lin!
22/05/20, 10:29:38 AM, ❤️, Mr. Buddy
‎22/05/20, 10:30:41 AM, ‎gif omitted, $h@lin!
22/05/20, 10:31:07 AM, i can get here actually, Mr. Buddy
22/05/20, 10:31:09 AM, i can eat after june 15, $h@lin!
22/05/20, 10:31:10 AM, but dangerous, Mr. Buddy
22/05/20, 10:31:19 AM, no dnt order, $h@lin!
22/05/20, 10:31:28 AM, give some time, $h@lin!
22/05/20, 10:31:38 AM, haaa, Mr. Buddy
22/05/20, 10:31:47 AM, and if u have without me then pakka, $h@lin!
22/05/20, 10:31:57 AM, it ll affect u, $h@lin!
22/05/20, 10:32:56 AM, 🤣, Mr. Buddy
22/05/20, 10:35:50 AM, it’s not a joke, $h@lin!
22/05/20, 10:35:57 AM, it’s a fact🤨, $h@lin!
22/05/20, 10:42:38 AM, will see, Mr. Buddy
22/05/20, 10:49:28 AM, no man... dnt try to eat, $h@lin!
22/05/20, 12:42:14 PM, log in iphone??, $h@lin!
22/05/20, 12:43:17 PM, no, $h@lin!
22/05/20, 12:43:25 PM, from app store, $h@lin!
22/05/20, 12:43:38 PM, ha yesterday i installed from app store, Mr. Buddy
22/05/20, 12:43:47 PM, logged in?, $h@lin!
22/05/20, 12:45:41 PM, no, Mr. Buddy
22/05/20, 1:03:57 PM, we could test once, $h@lin!
22/05/20, 1:04:09 PM, leave.. will do later, $h@lin!
22/05/20, 1:04:51 PM, ok, Mr. Buddy
22/05/20, 1:05:11 PM, if u are we can now, $h@lin!
22/05/20, 1:05:15 PM, free, $h@lin!
22/05/20, 1:08:23 PM, ok, Mr. Buddy
22/05/20, 1:08:42 PM, i'll login and inform, Mr. Buddy
22/05/20, 1:09:03 PM, and four users also we have check, $h@lin!
22/05/20, 1:13:59 PM, logged in, Mr. Buddy
22/05/20, 1:14:15 PM, ?!!, Mr. Buddy
22/05/20, 1:14:58 PM, yeah log in, $h@lin!
22/05/20, 1:15:11 PM, done, Mr. Buddy
22/05/20, 1:18:41 PM, ok 5min.. will tell u, $h@lin!
22/05/20, 1:18:47 PM, i’m in another call, $h@lin!
22/05/20, 1:55:37 PM, now?, $h@lin!
22/05/20, 1:58:21 PM, did u get call?, $h@lin!
22/05/20, 2:19:01 PM, 😂, $h@lin!
https://www.instagram.com/p/CAc4XTIFxA6/?igshid=192v2bigp7glg,,,
22/05/20, 3:25:00 PM, dude🧐, $h@lin!
22/05/20, 4:21:43 PM, haaaqq, Mr. Buddy
22/05/20, 4:22:47 PM, lock ur phone, $h@lin!
22/05/20, 4:22:52 PM, i mean iphone, $h@lin!
22/05/20, 4:23:02 PM, it's locked, Mr. Buddy
22/05/20, 4:24:25 PM, u have logged in with sanju?, $h@lin!
22/05/20, 4:24:37 PM, yes, Mr. Buddy
22/05/20, 4:25:54 PM, getting call?, $h@lin!
22/05/20, 4:26:04 PM, no, Mr. Buddy
22/05/20, 4:26:45 PM, production build only rigght, $h@lin!
22/05/20, 4:26:57 PM, go to call logs and check, $h@lin!
22/05/20, 4:27:07 PM, whether u got missed call!, $h@lin!
22/05/20, 4:27:32 PM, ha calllog it's there, Mr. Buddy
22/05/20, 4:27:56 PM, missed call?, $h@lin!
22/05/20, 4:28:16 PM, now, $h@lin!
22/05/20, 4:28:26 PM, open the lock, $h@lin!
22/05/20, 4:29:49 PM, hello, $h@lin!
22/05/20, 4:29:57 PM, qqqq, Mr. Buddy
22/05/20, 4:30:42 PM, u were there in the call?, $h@lin!
22/05/20, 4:34:39 PM, getting the call?, $h@lin!
22/05/20, 4:39:24 PM, hey man... dnt mute as soon as u get the call, $h@lin!
22/05/20, 4:39:40 PM, because its not happening when i call others, $h@lin!
22/05/20, 4:45:38 PM, just to check the scenerio, $h@lin!
22/05/20, 4:46:36 PM, i'm not geteting, Mr. Buddy
22/05/20, 4:49:26 PM, but it’s there in missed call, $h@lin!
22/05/20, 4:49:32 PM, u are using wifi ?, $h@lin!
22/05/20, 4:49:43 PM, may be phone is not connected to internet, $h@lin!
22/05/20, 4:49:52 PM, connect ed, Mr. Buddy
22/05/20, 4:52:02 PM, ok, $h@lin!
22/05/20, 4:52:06 PM, will call, $h@lin!
22/05/20, 4:52:10 PM, ok, Mr. Buddy
22/05/20, 4:53:17 PM, did u get the call?, $h@lin!
22/05/20, 4:53:32 PM, i got i accepted but no view, Mr. Buddy
22/05/20, 4:53:55 PM, you dnt mute anything, $h@lin!
22/05/20, 4:54:16 PM, will call again, $h@lin!
22/05/20, 4:55:23 PM, ok, Mr. Buddy
‎22/05/20, 4:59:29 PM, MediaShared, Mr. Buddy
‎22/05/20, 4:59:40 PM, MediaShared, $h@lin!
22/05/20, 5:03:40 PM, kill the app, $h@lin!
22/05/20, 5:07:30 PM, u disconnected or it got auto turned off?, $h@lin!
22/05/20, 5:07:53 PM, disconnect ed, Mr. Buddy
22/05/20, 5:08:33 PM, ok but i'm not getting the scenerio..., $h@lin!
22/05/20, 5:08:46 PM, u have bad internet?, $h@lin!
22/05/20, 5:14:04 PM, ha yes, Mr. Buddy
22/05/20, 5:14:07 PM, lil bit poor, Mr. Buddy
22/05/20, 5:14:28 PM, ohhh.. may be thats y!, $h@lin!
22/05/20, 5:14:49 PM, but not sure... if it happens again then there is something we have to fix, $h@lin!
22/05/20, 5:15:08 PM, ha, Mr. Buddy
22/05/20, 5:15:17 PM, actually if its internet.. after getting proper internet the video ll be visible, $h@lin!
22/05/20, 5:15:53 PM, ok will see the next time... because in other phones this issue has not come, $h@lin!
22/05/20, 5:16:15 PM, okieee, Mr. Buddy
22/05/20, 5:17:02 PM, not ok, $h@lin!
22/05/20, 5:25:22 PM, y, Mr. Buddy
‎22/05/20, 5:27:08 PM, ‎gif omitted, $h@lin!
22/05/20, 5:36:50 PM, 😂, Mr. Buddy
‎22/05/20, 6:10:37 PM, ‎gif omitted, $h@lin!
22/05/20, 8:12:18 PM, 😂, Mr. Buddy
‎22/05/20, 8:29:20 PM, ‎gif omitted, $h@lin!
22/05/20, 8:31:31 PM, 😂, Mr. Buddy
22/05/20, 8:31:50 PM, is it a thing to laugh at, $h@lin!
‎22/05/20, 8:31:58 PM, ‎gif omitted, $h@lin!
22/05/20, 8:32:00 PM, yes, Mr. Buddy
22/05/20, 8:32:27 PM, 🤯, Mr. Buddy
22/05/20, 8:32:44 PM, how is working with future gf🤔, $h@lin!
22/05/20, 8:32:50 PM, going on, $h@lin!
22/05/20, 8:32:58 PM, this is the thing to laugh at😂😂😂😂, $h@lin!
22/05/20, 8:34:26 PM, not started, Mr. Buddy
22/05/20, 8:34:54 PM, why, $h@lin!
22/05/20, 8:35:17 PM, may be dada knows everything in backend now🤔, $h@lin!
22/05/20, 8:37:03 PM, ha, Mr. Buddy
22/05/20, 8:37:38 PM, u like this type of girls🤔, $h@lin!
https://www.instagram.com/p/CAajlgtAhoo/?igshid=1ld4bfujcbf5e,,,
22/05/20, 8:38:00 PM, then when u are going to start, $h@lin!
22/05/20, 8:38:20 PM, she is beautiful, Mr. Buddy
22/05/20, 8:39:00 PM, this is the thing to laugh at, $h@lin!
22/05/20, 8:39:02 PM, 🤣🤣🤣, $h@lin!
22/05/20, 8:39:21 PM, ha she looks like one🧐, $h@lin!
22/05/20, 8:39:32 PM, like olivia, $h@lin!
22/05/20, 8:39:44 PM, ha, Mr. Buddy
22/05/20, 8:40:45 PM, 😂😂, $h@lin!
22/05/20, 8:40:56 PM, haaa, Mr. Buddy
22/05/20, 8:41:33 PM, actually that type of girls suits u🤔, $h@lin!
22/05/20, 8:43:19 PM, ha, Mr. Buddy
22/05/20, 8:43:30 PM, i won't, Mr. Buddy
‎22/05/20, 8:43:45 PM, ‎MediaShared, $h@lin!
22/05/20, 8:44:13 PM, but girls are very less now a days, $h@lin!
‎22/05/20, 8:44:27 PM, ‎gif omitted, Mr. Buddy
22/05/20, 8:48:21 PM, and with specs😂, $h@lin!
22/05/20, 8:48:34 PM, haa, Mr. Buddy
‎22/05/20, 8:49:55 PM, ‎gif omitted, $h@lin!
22/05/20, 8:50:21 PM, she isn't that fat, Mr. Buddy
22/05/20, 8:50:30 PM, if u marry this girl, $h@lin!
22/05/20, 8:50:37 PM, she is perfect, $h@lin!
22/05/20, 8:50:45 PM, will not, Mr. Buddy
22/05/20, 8:50:45 PM, she is not fat, $h@lin!
22/05/20, 8:51:11 PM, any of ur gf looks similar to her??, $h@lin!
22/05/20, 8:51:32 PM, no, Mr. Buddy
22/05/20, 8:51:57 PM, actually she looks really cool 🤔, $h@lin!
22/05/20, 8:52:18 PM, yes, Mr. Buddy
22/05/20, 8:52:23 PM, she is hot and beautiful, Mr. Buddy
‎22/05/20, 8:52:47 PM, ‎gif omitted, $h@lin!
22/05/20, 8:52:56 PM, hot🧐, $h@lin!
22/05/20, 8:53:04 PM, yes, Mr. Buddy
22/05/20, 8:53:10 PM, where, $h@lin!
22/05/20, 8:53:53 PM, ha u can say😜 that’s y i said she is quite fat, $h@lin!
22/05/20, 8:55:24 PM, fat is different, Mr. Buddy
22/05/20, 8:55:29 PM, this is fat, Mr. Buddy
22/05/20, 8:56:30 PM, 🤔, $h@lin!
22/05/20, 8:56:56 PM, then what u call.. if someone is fat in specific part, $h@lin!
22/05/20, 8:57:13 PM, no lol...just feel it, Mr. Buddy
22/05/20, 9:06:36 PM, oh😉, $h@lin!
‎22/05/20, 9:07:24 PM, ‎gif omitted, $h@lin!
22/05/20, 9:07:33 PM, feeling 🤣🤣🤣, $h@lin!
22/05/20, 9:11:33 PM, 😂, Mr. Buddy
22/05/20, 9:11:51 PM, just have to feel🤣🤣🤣, $h@lin!
‎22/05/20, 9:12:33 PM, ‎gif omitted, $h@lin!
22/05/20, 9:13:31 PM, 😂😂😂, Mr. Buddy
‎22/05/20, 9:27:55 PM, ‎gif omitted, $h@lin!
22/05/20, 9:28:26 PM, ?!!, Mr. Buddy
22/05/20, 9:31:02 PM, whatever u would like to feel, $h@lin!
22/05/20, 9:31:19 PM, just feel it, $h@lin!
22/05/20, 9:33:32 PM, u know a relative kid has come home.. may be 3rd standard age.. watching horror movie👀😰, $h@lin!
22/05/20, 9:33:42 PM, not giving remote also, $h@lin!
22/05/20, 9:33:50 PM, 🤣🤣🤣🤣, Mr. Buddy
22/05/20, 9:33:57 PM, and telling the story before it comes👀, $h@lin!
22/05/20, 9:37:36 PM, and power went😰, $h@lin!
22/05/20, 9:38:17 PM, actually the ghost just opened the door... power went, $h@lin!
22/05/20, 9:41:48 PM, it’s a really story happened in hassan 😱 mean sakleshpura, $h@lin!
22/05/20, 9:56:41 PM, ohwwww, Mr. Buddy
‎22/05/20, 10:13:24 PM, ‎gif omitted, $h@lin!
22/05/20, 10:19:00 PM, hey refund is not happening... it’s been a week, $h@lin!
22/05/20, 10:19:15 PM, now call centre also ll not be there, $h@lin!
22/05/20, 10:19:19 PM, refund of what??!, Mr. Buddy
22/05/20, 10:19:31 PM, i returned something in myntra, $h@lin!
