[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[01/06/20, 12:30:33 PM] $h@lin!: After seeing that only I got to know friends also can stay together as friends 😂
[01/06/20, 12:30:51 PM] Mr. Buddy: In movie only it will happen
[01/06/20, 12:30:54 PM] Mr. Buddy: Not in real life
[01/06/20, 12:30:55 PM] $h@lin!: But when I watched for the first time ... I didn’t like the concept but now it’s nice
[01/06/20, 12:31:12 PM] $h@lin!: Sadly yes
[01/06/20, 12:31:29 PM] $h@lin!: May be it’s because they were outside india😅
[01/06/20, 12:32:49 PM] $h@lin!: If u get time watch..
[01/06/20, 12:33:06 PM] Mr. Buddy: May be
[01/06/20, 12:33:27 PM] Mr. Buddy: No man anywhere I guess no one can stay as friends like ever
[01/06/20, 12:33:45 PM] Mr. Buddy: Either it will stop or it will change
[01/06/20, 12:33:47 PM] Mr. Buddy: I think
[01/06/20, 12:34:29 PM] $h@lin!: Yeah it may change🤔
[01/06/20, 12:34:52 PM] Mr. Buddy: Or friendship ends
[01/06/20, 12:35:04 PM] $h@lin!: May be it becomes more than friendship
[01/06/20, 12:35:11 PM] $h@lin!: Yeah or fight
[01/06/20, 12:35:17 PM] Mr. Buddy: Yes
[01/06/20, 12:35:37 PM] $h@lin!: If they survive together may be chance of marriage 🤣
[01/06/20, 12:35:52 PM] Mr. Buddy: Ha true
[01/06/20, 12:35:57 PM] $h@lin!: Then yes.. it’s only in movie
[01/06/20, 12:36:15 PM] Mr. Buddy: Ha
[01/06/20, 12:36:18 PM] $h@lin!: That is also coool only
[01/06/20, 12:37:07 PM] Mr. Buddy: May be
‎[01/06/20, 12:37:54 PM] $h@lin!: ‎GIF omitted
‎[01/06/20, 12:38:17 PM] Mr. Buddy: ‎GIF omitted
‎[01/06/20, 12:41:35 PM] $h@lin!: ‎GIF omitted
‎[01/06/20, 1:07:08 PM] $h@lin!: ‎image omitted
[01/06/20, 1:07:23 PM] Mr. Buddy: Aloevera
[01/06/20, 1:07:37 PM] $h@lin!: U know 😳
[01/06/20, 1:07:47 PM] Mr. Buddy: Ha I knoe
[01/06/20, 1:08:07 PM] Mr. Buddy: Your pant is taller than your leg 🤣
[01/06/20, 1:08:26 PM] $h@lin!: No actually it was falling
[01/06/20, 1:08:41 PM] Mr. Buddy: That short
[01/06/20, 1:08:53 PM] $h@lin!: I forgot to knot it
[01/06/20, 1:09:29 PM] $h@lin!: Since I had phone in one hand and aloe Vera on the other
[01/06/20, 1:09:38 PM] Mr. Buddy: shortyy
[01/06/20, 1:09:48 PM] $h@lin!: It was like it
‎[01/06/20, 1:10:17 PM] $h@lin!: ‎image omitted
[01/06/20, 1:10:36 PM] $h@lin!: Here usually wear full pant
[01/06/20, 1:10:51 PM] Mr. Buddy: No u would have pulled your pants up
[01/06/20, 1:10:52 PM] Mr. Buddy: Lok
[01/06/20, 1:10:53 PM] Mr. Buddy: Lol
[01/06/20, 1:11:05 PM] $h@lin!: What!! No
[01/06/20, 1:11:34 PM] Mr. Buddy: Shortyyyyyyyyyyyyyt
[01/06/20, 1:12:46 PM] $h@lin!: No
‎[01/06/20, 1:13:35 PM] $h@lin!: ‎image omitted
[01/06/20, 1:13:42 PM] $h@lin!: Now?
[01/06/20, 1:13:48 PM] $h@lin!: Full length
[01/06/20, 1:13:58 PM] Mr. Buddy: 🧐🧐🧐🧐🧐
[01/06/20, 1:14:03 PM] Mr. Buddy: Still shorty
[01/06/20, 1:14:08 PM] $h@lin!: How can I short
[01/06/20, 1:14:17 PM] $h@lin!: Actually I wear low waist
[01/06/20, 1:14:35 PM] Mr. Buddy: You are short only know
[01/06/20, 1:15:00 PM] $h@lin!: No u have say perfect height
[01/06/20, 1:17:47 PM] Mr. Buddy: That in that photo
[01/06/20, 1:23:07 PM] $h@lin!: Which pic
[01/06/20, 1:28:46 PM] Mr. Buddy: This
[01/06/20, 1:32:57 PM] $h@lin!: Half I’m tall
[01/06/20, 1:33:16 PM] $h@lin!: Half I’m fat
[01/06/20, 1:33:20 PM] Mr. Buddy: Half tall 🙆
[01/06/20, 1:33:20 PM] $h@lin!: 🤣
[01/06/20, 1:33:34 PM] Mr. Buddy: You look good in that pic
[01/06/20, 1:33:52 PM] $h@lin!: Legs are lengthy but from waist to top I’m short but fat
[01/06/20, 1:34:05 PM] $h@lin!: 😛
[01/06/20, 1:34:49 PM] $h@lin!: #Shot on iPhone
[01/06/20, 1:35:43 PM] Mr. Buddy: Not on iphone also u r good only
[01/06/20, 1:40:54 PM] $h@lin!: 😛
[01/06/20, 1:41:31 PM] $h@lin!: U also apply aloe Vera u ll also become like me😝
[01/06/20, 1:41:44 PM] Mr. Buddy: Okiee
‎[01/06/20, 1:49:05 PM] $h@lin!: ‎GIF omitted
[01/06/20, 1:49:17 PM] $h@lin!: Just kidding but it’s good for skin
[01/06/20, 1:49:30 PM] Mr. Buddy: Okie
[01/06/20, 1:49:34 PM] $h@lin!: And it ll not suit all skins
[01/06/20, 1:49:43 PM] $h@lin!: Some ll get itches
[01/06/20, 1:50:40 PM] Mr. Buddy: Ohwwww
[01/06/20, 1:51:09 PM] $h@lin!: So careful
[01/06/20, 1:51:22 PM] $h@lin!: As if u apply 🤣
[01/06/20, 1:51:34 PM] Mr. Buddy: Okieee
[01/06/20, 1:51:51 PM] $h@lin!: First go and brush
[01/06/20, 1:51:55 PM] $h@lin!: And have food
[01/06/20, 1:51:56 PM] Mr. Buddy: I did
[01/06/20, 1:52:09 PM] $h@lin!: Before me🤨
[01/06/20, 1:53:04 PM] Mr. Buddy: Ha
[01/06/20, 2:01:53 PM] $h@lin!: Have..
[01/06/20, 2:02:50 PM] $h@lin!: Latest news.. my roommate colleague dead due to corona
[01/06/20, 2:03:23 PM] Mr. Buddy: 😳
[01/06/20, 2:03:25 PM] $h@lin!: He hasn’t gone out but still! Once he went to get gas cylinder that’s it
[01/06/20, 2:03:28 PM] $h@lin!: In Bangalore
[01/06/20, 2:03:54 PM] Mr. Buddy: How man
[01/06/20, 2:03:58 PM] Mr. Buddy: Not possible
[01/06/20, 2:04:05 PM] Mr. Buddy: He would have his something
[01/06/20, 2:04:08 PM] Mr. Buddy: Hid
[01/06/20, 2:04:11 PM] $h@lin!: I don’t know... she said in the group
[01/06/20, 2:04:23 PM] Mr. Buddy: No man
[01/06/20, 2:04:28 PM] $h@lin!: May be he ignored the sumptuous
[01/06/20, 2:04:34 PM] $h@lin!: Symptoms
[01/06/20, 2:04:40 PM] Mr. Buddy: Haaa
[01/06/20, 2:04:48 PM] Mr. Buddy: Or he had may be any other issues
[01/06/20, 2:05:20 PM] $h@lin!: Yeah that’s what ...death rate is very low
[01/06/20, 2:05:30 PM] $h@lin!: U can be positive but curable
[01/06/20, 2:06:20 PM] Mr. Buddy: Ha
[01/06/20, 2:06:31 PM] $h@lin!: He had ignored though he had fever
[01/06/20, 2:06:49 PM] $h@lin!: Then he admitted to hospital
[01/06/20, 2:07:04 PM] $h@lin!: Usually for fever we ll not go to hospitals know
[01/06/20, 2:07:20 PM] $h@lin!: We think it ll go by two weeks
[01/06/20, 2:07:58 PM] $h@lin!: He had respiratory problem
[01/06/20, 2:08:06 PM] $h@lin!: May be that’s why
[01/06/20, 2:08:15 PM] $h@lin!: But still be careful man
[01/06/20, 2:08:50 PM] $h@lin!: Ur father ll go out ? To buy groceries?
[01/06/20, 2:14:54 PM] Mr. Buddy: Ha
[01/06/20, 2:15:14 PM] $h@lin!: See that cylinder guy was positive patient
[01/06/20, 2:15:27 PM] $h@lin!: Sanitise the groceries too
[01/06/20, 2:15:45 PM] $h@lin!: Just now I received Myntra parcel😰
[01/06/20, 2:17:16 PM] $h@lin!: See days are numbered if we ignore
[01/06/20, 2:17:45 PM] $h@lin!: Ask ur parents to be careful too
[01/06/20, 2:17:56 PM] Mr. Buddy: May be j should keep social distancing from u
[01/06/20, 2:17:59 PM] $h@lin!: Now border is opened?
[01/06/20, 2:18:05 PM] Mr. Buddy: Ha I gues
[01/06/20, 2:18:08 PM] $h@lin!: What!! Why
[01/06/20, 2:18:11 PM] $h@lin!: I dnt have
[01/06/20, 2:19:01 PM] $h@lin!: Actually it’s raining everyday there could be chance of getting cold! So what if we go to see doctor and get corona from him only🤔
[01/06/20, 2:19:28 PM] Mr. Buddy: They have protection
[01/06/20, 2:20:22 PM] $h@lin!: Ha what if we come in contact with patient
[01/06/20, 2:20:38 PM] $h@lin!: U know that guy is just 24
[01/06/20, 2:20:43 PM] $h@lin!: May be ur age
[01/06/20, 2:20:50 PM] Mr. Buddy: Yes that's y maintaining distancing from u
[01/06/20, 2:21:46 PM] $h@lin!: I’m not a patient
[01/06/20, 2:21:53 PM] $h@lin!: I’m healthy and fit
[01/06/20, 2:22:47 PM] Mr. Buddy: Whatever safety first rest next
‎[01/06/20, 2:24:01 PM] $h@lin!: ‎GIF omitted
[01/06/20, 2:24:18 PM] Mr. Buddy: No not friend
‎[01/06/20, 2:25:08 PM] $h@lin!: ‎GIF omitted
‎[01/06/20, 2:27:18 PM] $h@lin!: ‎image omitted
[01/06/20, 2:45:55 PM] Mr. Buddy: Look like chicken pox 🧐
‎[01/06/20, 2:54:46 PM] $h@lin!: ‎GIF omitted
[01/06/20, 2:56:26 PM] $h@lin!: It’s just mosquitoes bite
[01/06/20, 2:57:18 PM] Mr. Buddy: Who knows
[01/06/20, 2:57:23 PM] Mr. Buddy: May be cororna evolved
[01/06/20, 2:57:44 PM] $h@lin!: Oh please u are not a scientist
[01/06/20, 2:58:07 PM] $h@lin!: I saw that mosquito but couldn’t kill
[01/06/20, 2:58:28 PM] $h@lin!: That was one single mosquito
[01/06/20, 3:03:02 PM] Mr. Buddy: Ohwwww
‎[01/06/20, 3:03:37 PM] $h@lin!: ‎GIF omitted
[01/06/20, 3:03:54 PM] Mr. Buddy: Q
[01/06/20, 3:04:18 PM] $h@lin!: Crazy expression 🤣
[01/06/20, 3:08:04 PM] Mr. Buddy: Haaa
[01/06/20, 3:08:08 PM] Mr. Buddy: This is what movie
[01/06/20, 3:10:44 PM] $h@lin!: Secret life of pets
[01/06/20, 3:12:35 PM] Mr. Buddy: Ohw
[01/06/20, 3:12:52 PM] $h@lin!: Not seen?
[01/06/20, 3:12:58 PM] $h@lin!: It has two parts
‎[01/06/20, 3:13:15 PM] $h@lin!: ‎GIF omitted
‎[01/06/20, 3:14:52 PM] $h@lin!: ‎GIF omitted
‎[01/06/20, 3:15:32 PM] $h@lin!: ‎GIF omitted
[01/06/20, 3:21:56 PM] $h@lin!: ‎You deleted this message.
[01/06/20, 3:23:51 PM] $h@lin!: ‎You deleted this message.
[01/06/20, 3:40:31 PM] Mr. Buddy: What did u delete
[01/06/20, 3:40:46 PM] Mr. Buddy: Send it now 👻
[01/06/20, 3:41:05 PM] Mr. Buddy: Or else prepare to be doomed
[01/06/20, 3:41:48 PM] $h@lin!: Oh please
[01/06/20, 3:41:54 PM] $h@lin!: They are wrong link
[01/06/20, 3:42:18 PM] $h@lin!: In cover it was movie name but inside some other movie
[01/06/20, 3:42:39 PM] Mr. Buddy: Ok
[01/06/20, 3:42:51 PM] Mr. Buddy: You will be doomdd
[01/06/20, 3:43:01 PM] $h@lin!: Why
[01/06/20, 3:43:09 PM] $h@lin!: Doomed 🧐
[01/06/20, 3:43:19 PM] Mr. Buddy: Since you deleted
[01/06/20, 3:44:05 PM] $h@lin!: Yeah I had sent dirty videos link
[01/06/20, 3:44:08 PM] $h@lin!: So deleted
[01/06/20, 3:44:28 PM] Mr. Buddy: Ohwwww
[01/06/20, 3:44:32 PM] Mr. Buddy: Dirty girl
[01/06/20, 3:44:47 PM] $h@lin!: See u say this that’s why I deleted
[01/06/20, 3:44:57 PM] Mr. Buddy: Simply I said man
[01/06/20, 3:45:03 PM] Mr. Buddy: What today's work??!
[01/06/20, 3:45:04 PM] $h@lin!: Me too🤣
[01/06/20, 3:45:15 PM] $h@lin!: As if I send 😂🤣
[01/06/20, 3:45:20 PM] $h@lin!: Weekly view
[01/06/20, 3:45:27 PM] $h@lin!: Thinking what is pending
[01/06/20, 3:45:29 PM] $h@lin!: U?
[01/06/20, 3:45:32 PM] Mr. Buddy: You will see secretly
[01/06/20, 3:45:38 PM] Mr. Buddy: Odigo
[01/06/20, 3:45:50 PM] $h@lin!: Noooo
[01/06/20, 3:46:00 PM] $h@lin!: With Ashutosh?
[01/06/20, 3:46:05 PM] Mr. Buddy: Yrs
[01/06/20, 3:46:25 PM] $h@lin!: API or performance testing?
[01/06/20, 3:46:35 PM] $h@lin!: I’m not u to do that
[01/06/20, 3:46:43 PM] Mr. Buddy: Security testing
[01/06/20, 3:46:54 PM] Mr. Buddy: Vapt
[01/06/20, 3:47:07 PM] $h@lin!: What is that
[01/06/20, 3:47:53 PM] Mr. Buddy: Vulnerability assessment and pen testing
[01/06/20, 3:48:13 PM] $h@lin!: Abbreviation 👀
[01/06/20, 3:52:23 PM] Mr. Buddy: Haaaaaaaaaaaaaaa
[01/06/20, 3:52:37 PM] $h@lin!: Then do the testing
[01/06/20, 3:52:39 PM] $h@lin!: Lazy bee
‎[01/06/20, 3:53:02 PM] Mr. Buddy: ‎GIF omitted
‎[01/06/20, 3:56:32 PM] $h@lin!: ‎sticker omitted
‎[01/06/20, 3:56:44 PM] $h@lin!: ‎GIF omitted
‎[01/06/20, 6:17:19 PM] $h@lin!: ‎GIF omitted
[01/06/20, 6:18:43 PM] Mr. Buddy: 😳
[01/06/20, 6:20:03 PM] Mr. Buddy: https://youtu.be/sD0qb72wZlU
[01/06/20, 6:27:33 PM] $h@lin!: Hindi😳
[01/06/20, 6:28:17 PM] Mr. Buddy: Ha
[01/06/20, 6:28:27 PM] $h@lin!: 🤣
[01/06/20, 6:29:03 PM] $h@lin!: A big fan of him? Keep changing it🧐
[01/06/20, 6:29:35 PM] $h@lin!: Sunny leone 🤣
[01/06/20, 6:30:00 PM] Mr. Buddy: Ha I like hin
[01/06/20, 6:30:06 PM] Mr. Buddy: Haha
[01/06/20, 6:30:30 PM] $h@lin!: Loosing weight🤣
[01/06/20, 6:30:46 PM] Mr. Buddy: In one day
[01/06/20, 6:30:55 PM] $h@lin!: In one hour
[01/06/20, 6:31:13 PM] Mr. Buddy: One minute
‎[01/06/20, 6:31:45 PM] $h@lin!: ‎image omitted
[01/06/20, 6:32:00 PM] $h@lin!: Not one second
[01/06/20, 6:32:08 PM] Mr. Buddy: Ha
[01/06/20, 6:32:16 PM] Mr. Buddy: Beard
[01/06/20, 6:32:20 PM] $h@lin!: Yes
[01/06/20, 6:32:36 PM] $h@lin!: Half of his covered with beard only🤣
[01/06/20, 6:32:44 PM] Mr. Buddy: Like that have to grow
‎[01/06/20, 6:33:01 PM] $h@lin!: ‎sticker omitted
[01/06/20, 6:33:07 PM] $h@lin!: U look like baba
[01/06/20, 6:33:13 PM] $h@lin!: Sanju baba
‎[01/06/20, 6:33:14 PM] Mr. Buddy: ‎image omitted
[01/06/20, 6:33:19 PM] Mr. Buddy: Like this full
[01/06/20, 6:33:41 PM] $h@lin!: That is looking good for him
[01/06/20, 6:33:45 PM] $h@lin!: But for u🤔
[01/06/20, 6:33:50 PM] $h@lin!: Send a selfie
[01/06/20, 6:33:54 PM] $h@lin!: How u look
[01/06/20, 6:34:26 PM] Mr. Buddy: Ha after bathing
[01/06/20, 6:34:31 PM] $h@lin!: His face looks small no
[01/06/20, 6:34:40 PM] Mr. Buddy: No
[01/06/20, 6:34:41 PM] $h@lin!: Still not taken
[01/06/20, 6:34:47 PM] Mr. Buddy: Ha
[01/06/20, 6:34:56 PM] $h@lin!: May be because of beard
[01/06/20, 6:35:10 PM] $h@lin!: Or side pose
[01/06/20, 6:35:20 PM] $h@lin!: I haven’t seen any movie
[01/06/20, 6:35:37 PM] $h@lin!: I have seen him outside but not any movie
[01/06/20, 6:35:54 PM] Mr. Buddy: Haaa malayalm movie na
[01/06/20, 6:39:50 PM] $h@lin!: I have seen Malayalam movies... dulquer, Naveen Pauli and nazriya
[01/06/20, 6:39:58 PM] $h@lin!: Not only Bangalore days
[01/06/20, 6:40:18 PM] $h@lin!: There is one famous movie Naveen Pauli and nazriya
[01/06/20, 6:40:23 PM] Mr. Buddy: I dunno I used to like nivin Pauly now prithiv raj
[01/06/20, 6:40:25 PM] $h@lin!: And Charlie
[01/06/20, 6:40:33 PM] Mr. Buddy: It keeps on changing ,🤣
[01/06/20, 6:40:37 PM] $h@lin!: Sorry that is nivin
[01/06/20, 6:40:53 PM] $h@lin!: 🤨
[01/06/20, 6:41:09 PM] $h@lin!: Dnt have that habit of changing gf/wife
[01/06/20, 6:41:34 PM] Mr. Buddy: Thats y il think a lot b4 getting a gf or wife
[01/06/20, 6:41:36 PM] Mr. Buddy: 🤣🤣
[01/06/20, 6:41:52 PM] $h@lin!: OMG
[01/06/20, 6:42:14 PM] $h@lin!: Though u think and have one ... what if another beautiful girl just passes🤣
[01/06/20, 6:42:32 PM] Mr. Buddy: Not beauty
[01/06/20, 6:42:56 PM] Mr. Buddy: Even if beautiful if you don't like ,u don't like na
‎[01/06/20, 6:43:03 PM] $h@lin!: ‎GIF omitted
[01/06/20, 6:43:13 PM] Mr. Buddy: So have to think a lot before doing something like tgat
[01/06/20, 6:43:33 PM] $h@lin!: Hmmmzzz matured thoughts
[01/06/20, 6:43:50 PM] $h@lin!: True
[01/06/20, 6:43:58 PM] $h@lin!: See now u got my point
[01/06/20, 6:44:24 PM] Mr. Buddy: My mind keep on changing
[01/06/20, 6:44:27 PM] Mr. Buddy: Once I like
[01/06/20, 6:44:31 PM] Mr. Buddy: Once I don't like
[01/06/20, 6:44:42 PM] Mr. Buddy: So shouldn't go for gf an all
[01/06/20, 6:44:42 PM] $h@lin!: Very scary mind u have
[01/06/20, 6:44:54 PM] Mr. Buddy: 😂
[01/06/20, 6:44:56 PM] $h@lin!: Then u ll not marry?
[01/06/20, 6:45:09 PM] $h@lin!: Gf u can keep on changing but wife u can’t
[01/06/20, 6:45:10 PM] Mr. Buddy: May be god knows
‎[01/06/20, 6:45:32 PM] $h@lin!: ‎sticker omitted
[01/06/20, 6:45:45 PM] $h@lin!: But u can’t change a friend like me
[01/06/20, 6:45:56 PM] Mr. Buddy: Who knows happens
[01/06/20, 6:46:06 PM] Mr. Buddy: You also might do it
[01/06/20, 6:46:21 PM] Mr. Buddy: Suddenly after two months I may not like u
[01/06/20, 6:46:22 PM] $h@lin!: 🤔
[01/06/20, 6:46:27 PM] Mr. Buddy: Or u may not lkek me
[01/06/20, 6:46:43 PM] $h@lin!: Yeah we have to think on it
[01/06/20, 6:46:48 PM] Mr. Buddy: Everything happens
[01/06/20, 6:46:56 PM] $h@lin!: I don’t want that to happen
[01/06/20, 6:47:07 PM] $h@lin!: At least stick to one wife🤣
[01/06/20, 6:47:15 PM] $h@lin!: U can’t change frds
[01/06/20, 6:47:21 PM] $h@lin!: U can have more
[01/06/20, 6:47:33 PM] $h@lin!: But wife is single piece object
[01/06/20, 6:47:36 PM] $h@lin!: U can’t have more
[01/06/20, 6:47:39 PM] $h@lin!: 🤣
[01/06/20, 6:47:50 PM] $h@lin!: Gf also u can have more🤔
[01/06/20, 6:48:00 PM] Mr. Buddy: Who will be tgat unlucky who knwos
[01/06/20, 6:48:02 PM] Mr. Buddy: No
[01/06/20, 6:48:23 PM] $h@lin!: Unlucky??
[01/06/20, 6:48:28 PM] Mr. Buddy: How ever still 5 years e there
[01/06/20, 6:48:28 PM] $h@lin!: Why u think so
[01/06/20, 6:48:56 PM] $h@lin!: So long have to wait!
[01/06/20, 6:49:01 PM] Mr. Buddy: What i think
[01/06/20, 6:49:11 PM] $h@lin!: That she ll be unlucky
[01/06/20, 6:49:33 PM] Mr. Buddy: Ha what if o suddenly don't lisk it
[01/06/20, 6:49:40 PM] Mr. Buddy: We get a divorce 🤣
[01/06/20, 6:49:58 PM] $h@lin!: Dnt talk like that
[01/06/20, 6:50:02 PM] $h@lin!: Nothing ll happen
[01/06/20, 6:50:18 PM] $h@lin!: Just for that who ll take divorces
[01/06/20, 6:50:30 PM] Mr. Buddy: You will know
[01/06/20, 6:50:33 PM] $h@lin!: If u get to stay with her u ll again start liking her
[01/06/20, 6:50:43 PM] $h@lin!: It’s not right
[01/06/20, 6:50:55 PM] $h@lin!: Give some time everything ll fall in place
[01/06/20, 6:51:03 PM] $h@lin!: Just for this silly reason
[01/06/20, 6:51:15 PM] $h@lin!: U can fall in love again with ur wife
[01/06/20, 6:51:20 PM] Mr. Buddy: Ha
[01/06/20, 6:51:48 PM] $h@lin!: So as u said think a lot before u take this type of decision
[01/06/20, 6:51:53 PM] $h@lin!: Or reach out to me
[01/06/20, 6:52:03 PM] $h@lin!: I ll remind u
[01/06/20, 6:53:15 PM] $h@lin!: She ll be lucky to have u... and there is a sayin “Life is full of surprises and miracles”
[01/06/20, 7:12:02 PM] Mr. Buddy: After 5 years???
[01/06/20, 7:12:09 PM] Mr. Buddy: Will be in contact 🤣🤣🤣
[01/06/20, 7:13:40 PM] $h@lin!: 🤨
[01/06/20, 7:14:14 PM] $h@lin!: I was thinking how u ll be a father to ur kids...
[01/06/20, 7:14:26 PM] $h@lin!: And u are saying we ll not be in contact🤨
[01/06/20, 7:14:57 PM] $h@lin!: See now also we are in long distance still talking everyday!
[01/06/20, 7:15:19 PM] $h@lin!: If u want PS4 for ur kids... u have to be in contact
[01/06/20, 7:19:19 PM] $h@lin!: U know there was two close frds in our class(engineering).. everyone had thought there is something between them but she had a bf and her frd knows that from 8years... they still are close friends and go out! After two months she is getting married. Actually she had bf from 1st PU
[01/06/20, 7:19:31 PM] $h@lin!: What do u say for this
[01/06/20, 8:09:16 PM] Mr. Buddy: So what are u saying
[01/06/20, 9:03:48 PM] $h@lin!: I don’t know
[01/06/20, 9:04:39 PM] $h@lin!: May be that I ll be in contact but not sure about u🤔
[01/06/20, 9:05:38 PM] Mr. Buddy: Contact will be there
[01/06/20, 9:05:50 PM] $h@lin!: I mean not phone contacts
[01/06/20, 9:05:54 PM] Mr. Buddy: But the thing is
[01/06/20, 9:06:01 PM] Mr. Buddy: You are not understanding
[01/06/20, 9:06:04 PM] $h@lin!: U ll not talk?
[01/06/20, 9:06:08 PM] Mr. Buddy: Ok leave
[01/06/20, 9:06:15 PM] $h@lin!: 🥺
[01/06/20, 9:06:15 PM] Mr. Buddy: Had dinner
[01/06/20, 9:06:23 PM] $h@lin!: Yes
[01/06/20, 9:06:25 PM] $h@lin!: Urs
[01/06/20, 9:06:32 PM] Mr. Buddy: Yes
[01/06/20, 9:06:42 PM] $h@lin!: But I can understand
[01/06/20, 9:06:48 PM] $h@lin!: But it’s not like how u think
[01/06/20, 9:07:12 PM] $h@lin!: Only normal friends ll be like how u said
[01/06/20, 9:07:25 PM] $h@lin!: U are not understanding
[01/06/20, 9:07:43 PM] $h@lin!: Ok leave if u dnt want.. I also dnt want
[01/06/20, 9:08:04 PM] $h@lin!: Tera Ghata mera kuch nahi jatha😡
[01/06/20, 9:11:34 PM] Mr. Buddy: We are abnormal friend
[01/06/20, 9:12:06 PM] $h@lin!: That’s why I was saying
[01/06/20, 9:12:15 PM] $h@lin!: But u are so stubborn to understand
[01/06/20, 9:12:46 PM] $h@lin!: Abnormals ll not care or think about anything 😂
[01/06/20, 9:16:01 PM] Mr. Buddy: Shaliniiiiii
[01/06/20, 9:19:34 PM] $h@lin!: Hanji
[01/06/20, 9:23:07 PM] Mr. Buddy: I dunno mann
[01/06/20, 9:24:56 PM] $h@lin!: Man listen
[01/06/20, 9:25:01 PM] $h@lin!: Stop worrying about it
[01/06/20, 9:25:36 PM] $h@lin!: I ll be with u till u get ur gf/wife... after that will do what u are saying now
[01/06/20, 9:25:42 PM] $h@lin!: Till then I dnt listen to u
[01/06/20, 9:26:31 PM] $h@lin!: Why ? What u feeling? Why u keep on worrying about that?
[01/06/20, 9:26:42 PM] $h@lin!: We are not doing anything wrong man.,, chill
[01/06/20, 9:26:53 PM] $h@lin!: Dnt compare with anything else
[01/06/20, 9:27:00 PM] Mr. Buddy: Okieeee shaliniiiiii
[01/06/20, 9:27:07 PM] $h@lin!: We are abnormal friends right
[01/06/20, 9:27:10 PM] $h@lin!: Chill
[01/06/20, 9:27:12 PM] $h@lin!: 🤣
[01/06/20, 9:27:25 PM] $h@lin!: 🤔
[01/06/20, 9:27:43 PM] $h@lin!: Are u missing me🤔😂
[01/06/20, 9:30:34 PM] Mr. Buddy: U do??
[01/06/20, 9:30:50 PM] $h@lin!: I asked u first
[01/06/20, 9:32:44 PM] Mr. Buddy: I dunno
[01/06/20, 9:33:08 PM] $h@lin!: Ok yes I do... especially the hits! and the fights and ur anger😝
[01/06/20, 9:33:17 PM] $h@lin!: Means u do miss me
[01/06/20, 9:33:33 PM] $h@lin!: I got to know what does I dunno means🤣
[01/06/20, 9:35:06 PM] Mr. Buddy: I dunno means I dunno nothing else
[01/06/20, 9:36:59 PM] $h@lin!: No
[01/06/20, 9:37:06 PM] $h@lin!: I know the real answer
[01/06/20, 9:37:08 PM] $h@lin!: Kid
[01/06/20, 9:37:24 PM] $h@lin!: Mr. dumber
[01/06/20, 9:37:48 PM] $h@lin!: Hello where is the beard pic
[01/06/20, 9:39:04 PM] Mr. Buddy: What's that real answer
[01/06/20, 9:39:45 PM] $h@lin!: Yes u do miss
[01/06/20, 9:40:28 PM] $h@lin!: u try to deal the situation very smart way
[01/06/20, 9:40:45 PM] $h@lin!: But I’m smarter than u man😎🤘
[01/06/20, 9:42:21 PM] Mr. Buddy: What are you doing now
[01/06/20, 9:43:14 PM] $h@lin!: Weekly view
[01/06/20, 9:43:18 PM] $h@lin!: U?
[01/06/20, 9:44:00 PM] $h@lin!: Dude, what happened?
[01/06/20, 9:44:06 PM] $h@lin!: Are u feeling sad?
[01/06/20, 9:44:18 PM] $h@lin!: Share it with me
[01/06/20, 9:45:42 PM] Mr. Buddy: Sad for what
[01/06/20, 9:46:52 PM] $h@lin!: I ll not say but I want to listen it from u
[01/06/20, 9:47:26 PM] $h@lin!: Dnt be hard for urself.. and u dnt have to do this. Do u understand?
[01/06/20, 9:49:22 PM] Mr. Buddy: I'm not sad an all
[01/06/20, 9:49:38 PM] $h@lin!: Whatever
[01/06/20, 9:49:39 PM] Mr. Buddy: What's spl for dinner??!
[01/06/20, 9:49:51 PM] $h@lin!: Pappad 🤣
[01/06/20, 9:50:00 PM] $h@lin!: Same rice and sambar
[01/06/20, 9:50:03 PM] $h@lin!: What about u
[01/06/20, 9:50:04 PM] Mr. Buddy: Pappad as food
[01/06/20, 9:50:14 PM] $h@lin!: No... just sides
[01/06/20, 9:52:12 PM] $h@lin!: What u had?
[01/06/20, 9:53:06 PM] Mr. Buddy: Dosa
[01/06/20, 9:53:20 PM] $h@lin!: Night?
[01/06/20, 9:53:24 PM] Mr. Buddy: Ha
[01/06/20, 9:53:43 PM] $h@lin!: U know lizard has come to room
[01/06/20, 9:53:46 PM] $h@lin!: 😰
[01/06/20, 9:53:49 PM] Mr. Buddy: Ana sambar
[01/06/20, 9:54:16 PM] $h@lin!: For dosa.. veg only
[01/06/20, 9:54:25 PM] $h@lin!: First delete that message
[01/06/20, 9:54:35 PM] Mr. Buddy: Which message
[01/06/20, 9:54:44 PM] $h@lin!: That lizard message
[01/06/20, 9:54:54 PM] $h@lin!: It’s scary man
[01/06/20, 9:54:56 PM] Mr. Buddy: Y make man
[01/06/20, 9:55:06 PM] $h@lin!: No lizard was there in this room😭😭😭
[01/06/20, 9:55:09 PM] Mr. Buddy: Or make locust biryani
[01/06/20, 9:55:14 PM] $h@lin!: It has come up 😟
[01/06/20, 9:55:18 PM] $h@lin!: Chi
[01/06/20, 9:55:21 PM] $h@lin!: 🤮🤮
